docket_id,lowest.sorted.rin.of.related.rins,related.rins,comment_count,comments_matched,asset_data_name,nonprofits_resources_name,CIK_name,CreditUnions_name,FDIC_Institutions_name,FFIECInstitutions_name,SEC_Institutions_name,compustat_resources_name
Incentive-based Compensation Arrangements,1550-AC49,"1550-AC49, 1557-AD39, 2590-AA42, 3064-AD56, 3064-AD86, 3133-AD88, 3133-AE48, 7100-AD69, 7100-AE50",195,0,0,0,0,0,0,0,0,0
Incentive-based Compensation Arrangements,1550-AC49,"1550-AC49, 1557-AD39, 2590-AA42, 3064-AD56, 3064-AD86, 3133-AD88, 3133-AE48, 7100-AD69, 7100-AE50",NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,43,0,0,0,0,0,0,0,0
OCC-2010-0003,1557-AC99,"1557-AC99, 3064-AD70, 7100-AD61",47,0,0,0,0,0,0,0,0,0
OCC-2010-0009,NA,NA,18,0,0,0,0,0,0,0,0,0
OCC-2010-0016,NA,NA,29,0,0,0,0,0,0,0,0,0
OCC-2010-0017,NA,NA,12,0,0,0,0,0,0,0,0,0
OCC-2010-0021,1550-AC42,"1550-AC42, 1557-AD34",NA,0,0,0,0,0,0,0,0,0
OCC-2011-0001,NA,NA,2943,0,0,0,0,0,0,0,0,0
OCC-2011-0002,NA,NA,414,0,0,0,0,0,0,0,0,0
OCC-2011-0006,NA,NA,44,0,0,0,0,0,0,0,0,0
OCC-2011-0007,NA,NA,4,0,0,0,0,0,0,0,0,0
OCC-2011-0008,NA,NA,185,0,0,0,0,0,0,0,0,0
OCC-2011-0009,1557-AD33,"1557-AD33, 3064-AD58",NA,0,0,0,0,0,0,0,0,0
OCC-2011-0010,NA,NA,NA,0,0,0,0,0,0,0,0,0
OCC-2011-0014,NA,NA,3957,0,0,0,0,0,0,0,0,0
OCC-2011-0016,NA,NA,8,0,0,0,0,0,0,0,0,0
OCC-2011-0018,1557-AD41,1557-AD41,NA,0,0,0,0,0,0,0,0,0
OCC-2011-0019,1557-AD36,1557-AD36,8,0,0,0,0,0,0,0,0,0
OCC-2011-0021,1557-AD42,1557-AD42,NA,0,0,0,0,0,0,0,0,0
OCC-2011-0029,1557-AD58,1557-AD58,20,0,0,0,0,0,0,0,0,0
OCC-2012-0002,1557-AC99,"1557-AC99, 3064-AD70, 7100-AD61",NA,0,0,0,0,0,0,0,0,0
OCC-2012-0005,1557-AD36,1557-AD36,NA,0,0,0,0,0,0,0,0,0
OCC-2012-0007,1557-AD59,1557-AD59,7,0,0,0,0,0,0,0,0,0
OCC-2012-0008,1557-AD46,"1557-AD46, 3064-AD95, 3064-AD97, 7100-AD87",1989,0,0,0,0,0,0,0,0,0
OCC-2012-0009,1557-AD46,"1557-AD46, 3064-AD95, 3064-AD97, 7100-AD87",1998,0,0,0,0,0,0,0,0,0
OCC-2012-0010,1557-AD46,"1557-AD46, 3064-AD95, 3064-AD97, 7100-AD87",1992,0,0,0,0,0,0,0,0,0
OCC-2012-0013,1557-AD62,"1557-AD62, 1557-AD70, 1557-AD90, 1557-AD99, 3170-AA11, 3170-AA68, 7100 AE56, 7100-AD90",28,0,0,0,0,0,0,0,0,0
OCC-2012-0014,1557-AD42,1557-AD42,1,0,0,0,0,0,0,0,0,0
OCC-2013-0008,1557-AD69,"1557-AD69, 3064-AE01, 7100-AD99",26,0,0,0,0,0,0,0,0,0
OCC-2013-0009,1557-AD62,"1557-AD62, 1557-AD70, 1557-AD90, 1557-AD99, 3170-AA11, 3170-AA68, 7100 AE56, 7100-AD90",9,0,0,0,0,0,0,0,0,0
OCC-2013-0010,1557-AD40,"1557-AD40, 2501-AD53, 2590-AA43, 3064-AD74, 7100-AD70",218,0,0,0,0,0,0,0,0,0
OCC-2013-0014,NA,NA,79,0,0,0,0,0,0,0,0,0
OCC-2013-0016,1557-AD74,"1557-AD74, 3064-AE04, 7100-AE03",142,0,0,0,0,0,0,0,0,0
OCC-2014-0002,1557-AD64,"1557-AD64, 3064-AE10, 3133-AE22, 3170-AA44, 7100-AE15",55,0,0,0,0,0,0,0,0,0
OCC-2014-0003,1557-AD79,"1557-AD79, 3064-AE11, 7100-AE11",8,0,0,0,0,0,0,0,0,0
OCC-2014-0004,NA,NA,1,0,0,0,0,0,0,0,0,0
OCC-2014-0007,1557-AD80,1557-AD80,3,0,0,0,0,0,0,0,0,0
OCC-2014-0008,1557-AD81,"1557-AD81, 1557-AD83, 3064-AE12, 3064-AE13, 7100-AD16, 7100-AE17",14,0,0,0,0,0,0,0,0,0
OCC-2014-0009,1557-AD82,1557-AD82,2,0,0,0,0,0,0,0,0,0
OCC-2014-0012,1557-AD81,"1557-AD81, 1557-AD83, 3064-AE12, 3064-AE13, 7100-AD16, 7100-AE17",2,0,0,0,0,0,0,0,0,0
OCC-2014-0015,1557-AD85,1557-AD85,5,0,0,0,0,0,0,0,0,0
OCC-2014-0027,1557-AD62,"1557-AD62, 1557-AD70, 1557-AD90, 1557-AD99, 3170-AA11, 3170-AA68, 7100 AE56, 7100-AD90",NA,0,0,0,0,0,0,0,0,0
OCC-2014-0029,NA,NA,26,0,0,0,0,0,0,0,0,0
OCC-2015-0021,1557-AD62,"1557-AD62, 1557-AD70, 1557-AD90, 1557-AD99, 3170-AA11, 3170-AA68, 7100 AE56, 7100-AD90",3,0,0,0,0,0,0,0,0,0
OCC-2015-0023,NA,NA,8,0,0,0,0,0,0,0,0,0
OCC-2016-0016,1557-AE06,"1557-AE06, 3064-AE45, 7100-AE61",38,0,0,0,0,0,0,0,0,0
OSHA-2011-0126,1218-AC53,1218-AC53,6,0,0,0,0,0,0,0,0,0
OSHA-2011-0540,1218-AC58,1218-AC58,2,0,0,0,0,0,0,0,0,0
OTS-2010-0027,NA,NA,15,0,0,0,0,0,0,0,0,0
OTS-2010-0029,NA,NA,2,0,0,0,0,0,0,0,0,0
OTS-2010-0031,1550-AC42,"1550-AC42, 1557-AD34",NA,0,0,0,0,0,0,0,0,0
OTS-2011-0002,NA,NA,2,0,0,0,0,0,0,0,0,0
OTS-2011-0004,NA,NA,2000,0,0,0,0,0,0,0,0,0
PCAOB– 2011–01,NA,NA,1,0,0,0,0,0,0,0,0,0
R-1401,NA,NA,10,0,0,0,0,0,0,0,0,0
R-1401,NA,NA,32,0,0,0,0,0,0,0,0,0
R-1401;R-1401_V2,NA,NA,NA,2,0,0,0,0,0,0,0,0
R-1404,7100-AD63,7100-AD63,42,3006,0,0,0,0,0,0,0,0
R-1404,7100-AD63,7100-AD63,1559,3006,0,0,0,0,0,0,0,0
R-1409,7100-AD68,7100-AD68,NA,0,0,0,0,0,0,0,0,0
R-1411,1557-AD40,"1557-AD40, 2501-AD53, 2590-AA43, 3064-AD74, 7100-AD70",197,1168,0,0,0,0,0,0,0,0
R-1411,1557-AD40,"1557-AD40, 2501-AD53, 2590-AA43, 3064-AD74, 7100-AD70",404,1168,0,0,0,0,0,0,0,0
R-1425,7100-AD77,7100-AD77,NA,0,0,0,0,0,0,0,0,0
R-1438,7100-AD86,7100-AD86,63,326,0,0,0,0,0,0,0,0
R-1438,7100-AD86,7100-AD86,104,326,0,0,0,0,0,0,0,0
R-1442,1557-AD46,"1557-AD46, 3064-AD95, 3064-AD97, 7100-AD87",10,2518,0,0,0,0,0,0,0,0
R-1442,1557-AD46,"1557-AD46, 3064-AD95, 3064-AD97, 7100-AD87",1281,2518,0,0,0,0,0,0,0,0
R-1443_V3,1557-AD62,"1557-AD62, 1557-AD70, 1557-AD90, 1557-AD99, 3170-AA11, 3170-AA68, 7100 AE56, 7100-AD90",1,1,0,0,0,0,0,0,0,0
R-1459,7100-AD98,7100-AD98,NA,0,0,0,0,0,0,0,0,0
R-1463,7100-AE01,7100-AE01,2,2,0,0,0,0,0,0,0,0
R-1464,7100-AE02,7100-AE02,NA,0,0,0,0,0,0,0,0,0
R-1466,1557-AD74,"1557-AD74, 3064-AE04, 7100-AE03",NA,0,0,0,0,0,0,0,0,0
R-1484,7100-AE14,7100-AE14,NA,0,0,0,0,0,0,0,0,0
R-1514,7100-AE32,7100-AE32,NA,0,0,0,0,0,0,0,0,0
R-1545_V1,1557-AD62,"1557-AD62, 1557-AD70, 1557-AD90, 1557-AD99, 3170-AA11, 3170-AA68, 7100 AE56, 7100-AD90",NA,0,0,0,0,0,0,0,0,0
R-1546_V1,7100 AE57,7100 AE57,NA,0,0,0,0,0,0,0,0,0
R-1564,7100-AE78,7100-AE78,13,0,0,0,0,0,0,0,0,0
R1408_V1,7100-AD67,7100-AD67,NA,0,0,0,0,0,0,0,0,0
Removing References to Credit Ratings,3133-AD86,3133-AD86,11,0,0,0,0,0,0,0,0,0
R–1405,NA,NA,12,0,0,0,0,0,0,0,0,0
R–1415,NA,NA,10,0,0,0,0,0,0,0,0,0
R–1477,NA,NA,7,0,0,0,0,0,0,0,0,0
S7-02-13,3235-AL25,3235-AL25,39,5,0,0,0,0,0,0,0,0
S7-02-16,NA,NA,NA,0,0,0,0,0,0,0,0,0
S7-03-11,NA,NA,7,4,0,0,0,0,0,0,0,0
S7-03-14,NA,NA,NA,0,0,0,0,0,0,0,0,0
S7-05-11,NA,NA,39,31,0,0,0,0,0,0,0,0
S7-05-14,NA,NA,14,10,0,0,0,0,0,0,0,0
S7-06-11;S7-34-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-06-13;S7-06-13,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-07-11,NA,NA,44,34,0,0,0,0,0,0,0,0
S7-07-11;S7-15-11;S7-08-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-07-11;S7-18-08,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-07-15;S7-07-13,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-07-16,NA,NA,NA,0,0,0,0,0,0,0,0,0
S7-08-12;S7-05-14,NA,NA,NA,2,0,0,0,0,0,0,0,0
S7-08-12;S7-25-11;S7-40-11,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-08-12;S7-40-11,NA,NA,NA,2,0,0,0,0,0,0,0,0
S7-09-14,NA,NA,5,4,0,0,0,0,0,0,0,0
S7-11-11,NA,NA,14,14,0,0,0,0,0,0,0,0
S7-12-15;S7-01-15,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-15-15,NA,NA,4,4,0,0,0,0,0,0,0,0
S7-16-11,NA,NA,56,44,0,0,0,0,0,0,0,0
S7-16-11;S7-43-10;S7-06-11;S7-34-10;S7-44-10;S7-25-11,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-18-08;S7-18-08,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-19-10,NA,NA,10,7,0,0,0,0,0,0,0,0
S7-22-11,NA,NA,7,6,0,0,0,0,0,0,0,0
S7-22-16,NA,NA,NA,0,0,0,0,0,0,0,0,0
S7-23-16,NA,NA,NA,0,0,0,0,0,0,0,0,0
S7-24-10,NA,NA,45,28,0,0,0,0,0,0,0,0
S7-24-10;S7-26-10,NA,NA,NA,8,0,0,0,0,0,0,0,0
S7-24-16,NA,NA,NA,0,0,0,0,0,0,0,0,0
S7-25-15,3235-AL53,3235-AL53,NA,0,0,0,0,0,0,0,0,0
S7-26-10;S7-24-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-26-11,NA,NA,5,4,0,0,0,0,0,0,0,0
S7-28-10,NA,NA,3,2,0,0,0,0,0,0,0,0
S7-30-10,NA,NA,27,20,0,0,0,0,0,0,0,0
S7-31-10;S7-30-10,NA,NA,NA,2,0,0,0,0,0,0,0,0
S7-32-10;S7-08-12,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-32-10;S7-35-10;S7-43-10;S7-06-11;S7-34-10;S7-08-11;S7-08-12;S7-03-11;S7-25-11;S7-40-11;S7-27-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-34-10;S7-02-13,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-34-10;S7-05-14,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-34-10;S7-08-12;S7-25-11;S7-40-11;S7-05-14,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-34-10;S7-08-12;S7-40-11,NA,NA,NA,2,0,0,0,0,0,0,0,0
S7-34-10;S7-40-11,NA,NA,NA,9,0,0,0,0,0,0,0,0
S7-35-10,NA,NA,36,12,0,0,0,0,0,0,0,0
S7-35-10;S7-06-11,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-35-10;S7-25-11,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-35-10;S7-34-10,NA,NA,NA,12,0,0,0,0,0,0,0,0
S7-35-10;S7-34-10;S7-02-13,NA,NA,NA,2,0,0,0,0,0,0,0,0
S7-35-10;S7-40-11,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-36-10;S7-32-10;S7-35-10;S7-34-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-38-11,NA,NA,43,29,0,0,0,0,0,0,0,0
S7-38-11;S7-08-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-38-11;S7-41-11,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-39-10;S7-32-10;S7-35-10;S7-43-10;S7-06-11;S7-34-10;S7-44-10;S7-08-11;S7-27-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-39-10;S7-34-10;S7-44-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-39-10;S7-43-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-39-10;S7-43-10;S7-44-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-39-10;S7-44-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-40-10;S7-41-10;S7-42-10,NA,NA,NA,5,0,0,0,0,0,0,0,0
S7-40-10;S7-42-10,NA,NA,NA,2,0,0,0,0,0,0,0,0
S7-40-11,NA,NA,53,8,0,0,0,0,0,0,0,0
S7-40-11;S7-02-13,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-41-11;S7-39-10,NA,NA,NA,1,0,0,0,0,0,0,0,0
S7-43-10,NA,NA,21,15,0,0,0,0,0,0,0,0
TREAS-DO-2011-0004,NA,NA,24,0,0,0,0,0,0,0,0,0
TREAS-DO-2011-0009,1535-AA02,1535-AA02,1,0,0,0,0,0,0,0,0,0
TREAS-DO-2011-0011,1505-AC38,1505-AC38,2,0,0,0,0,0,0,0,0,0
TREAS-DO-2011-0012,1505-AC36,"1505-AC36, 3064-AD84",2,0,0,0,0,0,0,0,0,0
TREAS-DO-2012-0001,1505-AC42,1505-AC42,20,0,0,0,0,0,0,0,0,0
TREAS-DO-2012-0005,1505-AC40,1505-AC40,8,0,0,0,0,0,0,0,0,0
TREAS-DO-2015-0001,1505-AC36,"1505-AC36, 3064-AD84",19,0,0,0,0,0,0,0,0,0
VA-2014-VBA-0008,2900-AO65,2900-AO65,22,0,0,0,0,0,0,0,0,0
