Agency,Docket,Comments,Any Resources Measure,Percent,FDIC Assets,501c3 Assets,Assets (Credit Unions),501c3 Revenue,Market Cap,marketcap2,MeanLobbyingAmount,TotalLobbyingAmount,Campaign Donations,TotalContribAmount,MeanContribAmountPerYearContributed
CFTC,897,22,3,14%,1,3,0,3,1,1,6,6,6,6,6
CFTC,899,21,6,29%,0,6,0,6,0,0,7,7,7,7,7
CFTC,902,42,7,17%,0,6,0,6,1,1,6,6,6,6,6
CFTC,903,32,10,31%,1,9,0,9,2,2,12,12,12,12,12
CFTC,904,27,5,19%,0,4,0,4,1,1,8,8,8,8,8
CFTC,905,20,7,35%,0,6,0,6,1,1,8,8,8,8,8
CFTC,912,28,12,43%,1,12,0,12,1,1,14,14,14,14,14
CFTC,913,47,19,40%,1,19,0,19,1,1,16,16,16,16,16
CFTC,916,29,12,41%,0,12,0,12,0,0,7,7,7,7,7
CFTC,920,110,31,28%,1,29,0,29,3,3,29,29,29,29,29
CFTC,921,15,6,40%,0,5,0,5,1,1,6,6,6,6,6
CFTC,924,35,13,37%,2,12,0,12,2,2,9,9,9,9,9
CFTC,925,21,6,29%,1,5,0,5,0,0,7,7,7,7,7
CFTC,927,10,5,50%,0,5,0,5,0,0,6,6,6,6,6
CFTC,929,12,5,42%,2,5,0,5,0,0,4,4,4,4,4
CFTC,933,360,165,46%,40,141,3,141,38,38,163,163,163,163,163
CFTC,934,55,18,33%,4,13,0,13,2,2,14,14,14,14,14
CFTC,935,145,60,41%,12,50,0,50,11,11,55,55,55,55,55
CFTC,937,677,195,29%,15,183,2,183,12,12,128,128,128,128,128
CFTC,939,41,9,22%,0,9,0,9,0,0,12,12,12,12,12
CFTC,951,35,6,17%,1,5,0,5,2,2,12,12,12,12,12
CFTC,953,120,33,28%,6,32,1,32,5,5,30,30,30,30,30
CFTC,955,187,44,24%,8,39,0,39,7,7,52,52,52,52,52
CFTC,965,3515,461,13%,28,442,5,442,20,20,327,327,327,327,327
CFTC,968,41,19,46%,0,18,0,18,2,2,18,18,18,18,18
CFTC,969,11,4,36%,0,4,0,4,1,1,4,4,4,4,4
CFTC,970,65,23,35%,1,22,0,22,2,2,23,23,23,23,23
CFTC,973,103,36,35%,0,36,0,36,0,0,40,40,40,40,40
CFTC,974,20,8,40%,1,8,1,8,0,0,9,9,9,9,9
CFTC,983,9,2,22%,0,1,0,1,1,1,1,1,1,1,1
CFTC,985,3,1,33%,0,1,0,1,0,0,1,1,1,1,1
CFTC,986,32,6,19%,1,5,1,5,0,0,8,8,8,8,8
CFTC,994,72,17,24%,2,16,0,16,2,2,22,22,22,22,22
FDIC,3064-AD37,83,32,39%,0,32,0,32,0,0,13,13,13,13,13
FDIC,3064-AD58,12,5,42%,0,5,0,5,0,0,1,1,1,1,1
FDIC,3064-AD59,7,1,14%,0,1,0,1,0,0,1,1,1,1,1
FDIC,3064-AD62,20,4,20%,0,4,0,4,0,0,3,3,3,3,3
FDIC,3064-AD63,4,1,25%,0,1,0,1,0,0,0,0,0,0,0
FDIC,3064-AD66V1,38,8,21%,0,8,0,8,0,0,6,6,6,6,6
FDIC,3064-AD66V2,39,7,18%,0,7,0,7,0,0,6,6,6,6,6
FDIC,3064-AD70,29,14,48%,0,14,0,14,0,0,9,9,9,9,9
